alm,almindelig
ang,angående
beg,begyndelse
bio,billion
bl a,blandt andet
ca,cirka
da,dansk
el,eller
el lign,eller lignende
enkelt,enkeltbillet
f eks,for eksempel
fvh,forhenværende
fork,forkortelse
fung,fungerende
glda,gammeldansk
grønl,grønlænder
hhv,henholdsvis
iflg,ifølge
jfr,jævnfør
kbm,kubikmeter
kgl,kongelig
knsp,knivspids
kvm,kvadratmeter
mia,millard
min,minut
min,minimum
mio,million
ml,mellem
ngn,nogen
ngt,noget
nr,nummer
obs,observér
oht,oldhøjtysk
oldn,oldnordisk
rdlr,rigsdaler
red,redaktion
red,redigeret
red,redaktør
resp,respektive
run,runedansk
self,selvfølgelig
spgsm,spørgsmål
spsk,spiseske
stk,stykk
stk,stykke
tsk,teske
udg,udgave
vbs,verbalsubstantiv
vedr,vedrørende
