αβέβ,αβέβαιος
αγγλ,αγγλικός
άγν,άγνωστος
αεροπ,αεροπορία
αθλ,αθλητισμός
αιτιολ,αιτιολογικός
άκλ,άκλιτος
αμετβ,αμετάβατος
αμτβ,αμετάβατος
ανατ,ανατομία
αναφ,αναφορά
αναφ,αναφορικός
αναφορ,αναφορικός
αναφορ,αναφορά
αναφορα,αναφορικός
αναφορα,αναφορά
ανδρων,ανδρωνυμικό
ανεπ,ανεπίσημος
ανθ,ανθοκομία
ανθλγός,ανθυπολοχαγός
ανθλχος,ανθυπίλαρχος
ανθρωπ,ανθρωπολογία
ανθσγος,ανθυποσμηναγός
ανθχος,ανθυποπλοίαρχος
ανομ,ανομοίωση
ανπχος,αντιπλοίαρχος
αντ,αντίθετος
αντγος,αντιστράτηγος
αντιδ,αντιδάνειο
αντιδάν,αντιδάνειο
αντικ,αντικειμενικός
αντικ,αντικείμενο
αντων,αντωνυμία
ανχης,αντισυνταγματάρχης
ανχος,αντιναύαρχος
ανώμ,ανώμαλος
αόρ,αόριστος
αορ,αορίστου
απαρ,απαρέμφατο
απλολ,απλολογία
απόδ,απόδοση
αποθ,αποθετικός
απόλ,απόλυτος
απρμφ,απαρέμφατο
απρόσ,απρόσωπος
απρφ,απαρέμφατο
απτχος,αντιπτέραρχος
απχος,αρχιπλοίαρχος
άρθρ,άρθρο
αριθ,αριθμητικός
αριθ,αριθμητική
αριθ,αριθμός
αριθμ,αριθμητικός
αριθμ,αριθμητική
αρνητ,αρνητικός
αρσ,αρσενικός
αρχ,αρχαίος
αρχαιολ,αρχαιολογία
αρχαιοπρ,αρχαιοπρεπής
αρχαϊστ,αρχαϊστικός
αρχιτ,αρχιτεκτονική
ασμχος,αντισμήναρχος
αστρολ,αστρολογία
αστρον,αστρονομία
ασυνίζ,ασυνίζητος
αυτ,αυτόθι
αυτοκιν,αυτοκίνητο
αφηρ,αφηρημένος
αχώρ,αχώριστος
βαθ,βαθμός
βεβαιωτ,βεβαιωτικός
βιολ,βιολογία
βιομηχ,βιομηχανία
βιοχημ,βιοχημεία
βόρ,βόρειος
βοτ,βοτανική
γεν,γενική
γεν,γενικά
γενικ,γενικότερα
γενικ,γενικά
γενικότ,γενικότερα
γενν,γέννηση
γενν,γεννήθηκε
γεωγρ,γεωγραφία
γεωλ,γεωλογία
γεωμ,γεωμετρία
γεωργ,γεωργία
γλωσσ,γλωσσολογία
γλωσσ,γλώσσα
γρ,γραπτός
γρ,γραφή
γραμμ,γραμματικός
γραμμ,γραμματικός
γυμν,γυμναστική
δύσχρ,δύσχρηστος
ενεργ,ενεργητικός
επγος,επισμηναγός
ηθ,ηθική
ηχηρ,ηχηρότητα
κεφ,κεφάλαιο
κπν,κάποιον
λαϊκ,λαϊκός
λγος,λοχαγός
λόγ,λόγιος
λογιότ,λογιότερος
μειωτ,μειωτικός
μεταφρ,μεταφραστικός
μετβ,μεταβατικός
νχος,ναύαρχος
ονομ,ονομαστική
πβ,παράβαλε
πτχος,πτέραρχος
πχης,πλωτάρχης
πχος,πλοίαρχος
σγος,σμηναγός
σμρος,σημαιοφόρος
σμχος,σμήναρχος
στγος,στρατηγός
στχης,στρατάρχης
συνεκδ,συνεκδοχικά
σχης,συνταγματάρχης
ταξχος,ταξίαρχος
τομ,τόμος
τχης,ταγματάρχης
υβριστ,υβριστικός
υπγος,υποστράτηγος
υπλγός,υπολοχαγός
υπλγος,υπίλαρχος
υπνχος,υποναύαρχος
υπσγος,υποσμηναγός
υπτχος,υποπτέραρχος
υπχος,υποπλοίαρχος
