adj,adjektiv
adjes,adjektives
admón,administración
admónes,administraciónes
adv,adverbio
advs,adverbios
ant,anterior
aprox,aproximadamente
astrol,astrología
aum,aumentativo
avda,avenida
avdas,avenidas
ayto,ayuntamiento
aytos,ayuntamientos
cdla,ciudadela
cdlas,ciudadelas
cdo,considerando
cdos,considerandos
clás,clásico
coloq,coloquial
coop,cooperativa
coops,cooperativas
cta,cuenta
ctas,cuentas
dcha,derecha
dchas,derechas
der,derecho
ders,derechos
der,derecha
ders,derechas
dim,diminutivo
dpto,departamento
dptos,departamentos
drcha,derecha
dud,dudoso
ext,exterior
faj,fajita
fajs,fajitas
fol,folio
fols,folios
gén,género
géns,géneros
hno,hermano
hnos,hermanos
inf,inferior
int,interior
izda,izquierda
izq,izquierda
izq,izquierdo
mt,metro
mts,metros
núm,número
núms,números
pág,página
págs,páginas
plg,pulgada
plgs,pulgadas
post,posterior
pta,peseta
ptas,pesetas
pto,puerto
ptos,puertos
pto,punto
ptos,puntos
pulg,pulga
pulgs,pulgas
pza,plaza
pzas,plazas
pza,pieza
pzas,piezas
rep,república
reps,repúblicas
señá,señora
señás,señoras
servo,servomecanismo
servos,servomecanismos
sma,santísima
sup,superior
tamb,también
velc,velocidad
